Day+D6A1:D102,Time Spent,Check-In Time,Check-Out Time
2023-07-01,63,11:36,12:39
2023-07-02,91,11:06,12:37
2023-07-03,0,00:00,00:00
2023-07-04,86,11:28,12:54
2023-07-05,33,17:31,18:04
2023-07-06,101,12:57,14:38
2023-07-07,113,12:57,14:50
2023-07-08,113,12:44,14:37
2023-07-09,119,11:55,13:54
2023-07-10,43,9:43,10:26
2023-07-11,125,12:49,14:54
2023-07-12,58,17:26,18:24
2023-07-13,0,00:00,00:00
2023-07-14,94,11:39,13:13
2023-07-15,33,17:34,18:07
2023-07-16,35,9:31,10:06
2023-07-17,0,00:00,00:00
2023-07-18,97,11:07,12:44
2023-07-19,73,11:35,12:48
2023-07-20,33,9:11,09:44
2023-07-21,61,12:43,13:44
2023-07-22,65,12:52,13:57
2023-07-23,83,12:13,13:36
2023-07-24,0,00:00,00:00
2023-07-25,107,11:03,12:50
2023-07-26,74,11:53,13:07
2023-07-27,0,00:00,00:00
2023-07-28,123,12:58,15:01
2023-07-29,75,11:03,12:18
2023-07-30,70,12:15,13:25
2023-07-31,130,11:25,13:35
2023-08-01,42,17:53,18:35
2023-08-02,55,17:25,18:20
2023-08-03,0,00:00,00:00
2023-08-04,65,12:47,13:52
2023-08-05,127,11:21,13:28
2023-08-06,126,11:50,13:56
2023-08-07,0,00:00,00:00
2023-08-08,46,9:12,09:58
2023-08-09,0,00:00,00:00
2023-08-10,122,15:02,16:45
2023-08-11,120,13:54,15:25
2023-08-12,98,12:01,13:39
2023-08-13,88,11:49,13:17
2023-08-14,0,00:00,00:00
2023-08-15,130,12:57,15:07
2023-08-16,109,12:45,14:34
2023-08-17,89,11:19,12:48
2023-08-18,86,12:10,13:36
2023-08-19,52,17:30,18:22
2023-08-20,53,9:52,10:45
2023-08-21,64,11:16,12:20
2023-08-22,60,9:49,10:49
2023-08-23,92,12:36,14:08
2023-08-24,113,11:42,13:35
2023-08-25,35,17:52,18:27
2023-08-26,115,11:45,13:40
2023-08-27,57,17:36,18:33
2023-08-28,106,11:40,13:26
2023-08-29,114,11:51,13:45
2023-08-30,61,12:02,13:03
2023-08-31,0,00:00,00:00
2023-09-01,51,17:51,18:42
2023-09-02,106,11:22,13:08
2023-09-03,111,11:54,13:45
2023-09-04,112,12:28,14:20
2023-09-05,51,9:33,10:24
2023-09-06,105,11:35,13:20
2023-09-07,112,12:51,14:43
2023-09-08,41,9:44,10:25
2023-09-09,77,12:19,13:36
2023-09-10,71,12:39,13:50
2023-09-11,53,9:13,10:06
2023-09-12,57,17:01,17:58
2023-09-13,118,12:50,14:48
2023-09-14,78,11:58,13:16
2023-09-15,62,12:12,13:14
2023-09-16,60,9:26,10:26
2023-09-17,43,17:49,18:32
2023-09-18,0,00:00,00:00
2023-09-19,61,11:21,12:22
2023-09-20,108,12:16,14:04
2023-09-21,95,12:58,14:33
2023-09-22,73,14:59,16:13
2023-09-23,129,11:13,13:22
2023-09-24,116,12:22,14:18
2023-09-25,0,00:00,00:00
2023-09-26,42,9:55,10:37
2023-09-27,99,11:39,13:18
2023-09-28,48,9:34,10:22
2023-09-29,66,11:11,12:17
2023-09-30,117,12:10,14:07
2023-10-01,102,11:28,13:10
